activity,date,name,event,description,bonus,points
"Presenting - conference, SIG meeting, meet-up",25-JUN-19,Polymorphic Table Functions and Qualified Expressions,ODTUG Kscope 19,The most interesting new features Oracle 18c introduces to developers are Polymorphic Table Functions and Qualified Expressions. Polymorphic Table Functions finally allow the developer to define the structure of the returned records at runtime.,,20
"Presenting - conference, SIG meeting, meet-up",24-JUN-19,Oracle Cloud Infrastructure—Network Setup for DBAs,ODTUG Kscope 19," In the Oracle Cloud, you can have a database up and running within minutes. However, why do you have to set up a network before you can even think about installing databases?",check,25
"Presenting - conference, SIG meeting, meet-up",04-JUN-19,Oracle Cloud Infrastructure - Netzwerkeinrichtung für DBAs,DOAG 2019 Database,"Eine Datenbank ist in der Oracle Cloud schnell erstellt. Aber soll der zugehörige Server wirklich direkt aus dem Internet zu erreichbar sein?  Die Cloud stellt DBAs vor neue Herausforderungen:  Auf einmal gehört der Umgang mit öffentlichen und privaten Netzwerken, Subnetting, Routing und Firewalls zum täglichen Aufgabengebiet.",check,25
"Presenting - conference, SIG meeting, meet-up",04-JUN-19,"AppDev: MicroServices, REST & JSON aus der Datenbank",DOAG 2019 Database,"Dieser Vortrag ist Teil des Einsteigerstreams und beleuchtet die Anwendungsentwicklung.. Er gibt einen Überblick über die Rolle der Datenbank in Zeiten von Microservices, REST-Schnittstellen und JSON Dokumenten.",,20
"Presenting - conference, SIG meeting, meet-up",14-MAY-19,DOAG Regio München Oracle Cloud - First Steps (Live),DOAG Regio München,"Der hauseigene Cloudservice wird von Oracle in der letzten Zeit massiv gehypt. Es wird also Zeit, sich das Ganze einmal in kleinem Rahmen anzusehen, und sich eine eigene Meinung zu bilden. Robert Marz von its-people zeigt in Theorie und Praxis die Umsetzung eines einfachen Setups. Am Anfang steht natürlich zunächst das Verstehen der Terminologie und der Abhängigkeiten, sprich das architektonische Konzept des OCI Cloud Service und der Autonomous Database. Danach werden wir ""live"" die Umsetzung betreiben, Fallstricke vermeiden und uns am Ende über den ersten Datenbankzugriff freuen dürfen.",check,25
"Presenting - conference, SIG meeting, meet-up",14-MAY-19,Oracle Cloud Infrastructure - Network Setup for DBAs,DOAG Regio München,"This talk introduces DBAs to the basics of IP- and Software Defined Networking (SDN). All Demos and Screenshots represent the Oracle Cloud. However, the demonstrated concepts and patterns are valid for every IaaS-Cloud.",check,25
"Presenting - conference, SIG meeting, meet-up",07-MAY-19,RESTful Services in der Datenbank mit ORDS erstellen,DOAG APEX Connect 2019,"Tabellen oder Prozeduren mit ORDS AutoREST als RESTful Service bereitzustellen ist einfach.  Aber ORDS erlaubt es auch, eigene RESTful Services zu definieren. Dieser Vortrag gibt eine umfassende Einführung in die Entwicklung von RESTful Services für die Datenbank.",,20
"Presenting - conference, SIG meeting, meet-up",10-APR-19,Polymorphic Tablefunctions & Qualified Expressions,IOUG Collaborate 19,The most interesting new feature Oracle 18c introduces to Developers are Polymorphic Table Functions and Qualified Expressions.  Polymorphic Table Functions finally allow the Developer to define the structure of the returned records at runtime.  Qualified Expressions allows defining array- or record constructors that assign all values in a single statement. What looks at first sight as syntactical sugar is a mighty tool - especially in conjunction with Polymorphic Table Functions.  This talk introduces the concepts of Polymorphic Table Functions and Qualified Expressions and demonstrates real-world use cases and scenarios.,,20
"Presenting - conference, SIG meeting, meet-up",22-MAR-19,P68 Polymorphic Table Functions and Qualified Expressions by Robert Marz,OUGN 2019 Spring Conference,"The most interesting new feature, Oracle 18c introduces to Developers, are Polymorphic Table Functions and Qualified Expressions.   Polymorphic Table Functions finally allow the Developer to define the structure of the returned records at runtime.   Qualified Expressions allows defining array- or record constructors that assign all values in a single statement.  What looks at first sight as syntactical sugar is a mighty tool - especially in conjunction with Polymorphic Table Functions.   This talk introduces the concepts of Polymorphic Table Functions and Qualified Expressions and demonstrates real-world use cases and scenarios. ",,20
"Presenting - conference, SIG meeting, meet-up",22-MAR-19, P32 Apex & ORDS from a DBAs Perspective by Robert Marz,OUGN 2019 Spring Conference,This Talk highlights Apex and Oracle REST Data Services (ORDS) from a DBAs perspective,,20
"Presenting - conference, SIG meeting, meet-up",21-MAR-19,P31 Oracle Cloud Infrastructure - Network Setup for DBAs by Robert Marz,OUGN 2019 Spring Conference,"In the Oracle Cloud, you can have a database up and running within minutes.  However, why do you have to set up a network, before you can even think about installing databases?   The Cloud poses new challenges for DBAs:  Suddenly, dealing with public and private networks, subnetting, routing and firewalls is becoming part of their daily routines.   This lecture connects general networking concepts with concrete configuration options in the Oracle Cloud. ",check,25
"Presenting - conference, SIG meeting, meet-up",21-FEB-19,Polymorphic Tablefunctions & Qualified Expressions,RMOUG Training Days 2019,"The most interesting new features Oracle 18c offers for developers are Polymorphic Table Functions and Qualified Expressions. Polymorphic Table Functions finally allow the developer to define the structure of the returned records at runtime. Qualified Expressions allows defining array—or record constructors that assign all values in a single statement. What looks at first sight as syntactical sugar is a mighty tool, especially in conjunction with Polymorphic Table Functions. This talk introduces the concepts of Polymorphic Table Functions and Qualified Expressions and demonstrates real-world use cases and scenarios with a detailed live demo. The examples and scripts will be available for download.",,20
"Presenting - conference, SIG meeting, meet-up",20-FEB-19,Oracle Cloud Infrastructure - Network Setup for DBAs,RMOUG Training Days 2019,"In the Oracle Cloud, a database is set up fast. But should the associated server sit directly on the internet? The cloud poses new challenges for DBAs: suddenly, dealing with public and private networks, subnetting, routing and firewalls as part of their daily tasks. This lecture brings light into the darkness and connects the general concepts with the concrete configuration possibilities in the Oracle Cloud.",check,25
"Presenting - conference, SIG meeting, meet-up",16-JAN-19, Oracle Cloud Infrastructure - Network Setup for DBAs,DOAG Noon2Noon 2019: Oracle Databases in the Cloud,"Oracle Cloud Infrastructure - Network Setup for DBAs In the Oracle Cloud, you can have a database up and running within minutes. However, why do you have to set up a network, before you can even think about installing databases?  The Cloud poses new challenges for DBAs: Suddenly, dealing with public and private networks, subnetting, routing and firewalls is becoming part of their daily routines.  This lecture connects general networking concepts with concrete configuration options in the Oracle Cloud.",,20
User Group - Volunteer,16-JAN-19,DOAG Noon2Noon - Oracle Databases in the Cloud,,"Organization and execution of the event ""DOAG Noon2Noon Oracle Databases in the Cloud"" on 16 and 17 January 2019 in Frankfurt together with Martin Klier.",,25
"Presenting - conference, SIG meeting, meet-up",20-DEC-18,Oracle Cloud - First Steps (Live),DOAG Regio Nürnberg/Franken,"Der hauseigene Cloudservice wird von Oracle in der letzten Zeit massiv gehypt. Es wird also Zeit, sich das Ganze einmal in kleinem Rahmen anzusehen, und sich eine eigene Meinung zu bilden. Robert Marz von its-people zeigt in Theorie und Praxis die Umsetzung eines einfachen Setups. Am Anfang steht natürlich zunächst das Verstehen der Terminologie und der Abhängigkeiten, sprich das architektonische Konzept des OCI Cloud Service und der Autonomous Database. Danach werden wir ""live"" die Umsetzung betreiben, Fallstricke vermeiden und uns am Ende über den ersten Datenbankzugriff freuen dürfen.",check,25
"Presenting - conference, SIG meeting, meet-up",20-DEC-18,Oracle Cloud Infrastructure - Network Setup for DBAs,DOAG Regio Nürnberg/Franken,"Oracle Cloud Infrastructure - Network Setup for DBAs In the Oracle Cloud, you can have a database up and running within minutes. However, why do you have to set up a network, before you can even think about installing databases?  The Cloud poses new challenges for DBAs: Suddenly, dealing with public and private networks, subnetting, routing and firewalls is becoming part of their daily routines.  This lecture connects general networking concepts with concrete configuration options in the Oracle Cloud.",check,25
"Presenting - conference, SIG meeting, meet-up",10-DEC-18,SQLDeveloper Workshop,IT Tage Frankfurt,"Organized, planned & executed a whole Day SQL Developer Workshop at IT-Tage 2019, in Frankfurt, Germany together with Sabine Heimsath.  https://www.ittage.informatik-aktuell.de/fileadmin/docs/IT-Tage-2018-Conference-Guide.pdf  https://www.ittage.informatik-aktuell.de/programm/2018/oracle-sql-developer-workshop/  Dec 2018 9:00 - 16:30 ca. 30 Attendees Kap Europa, Frankfurt am Main",,20
"Presenting - conference, SIG meeting, meet-up",22-NOV-18,Security Panel - Member,DOAG 2018 Conference + Exhibition,Im Security-Panel stellen sich anerkannte Security Fachleute den Fragen der Besucher.,,20
"Presenting - conference, SIG meeting, meet-up",20-NOV-18,Oracle Cloud Infrastructure - Network Setup for DBAs,DOAG 2018 Conference + Exhibition,"In the Oracle Cloud, you can have a database up and running within minutes. However, why do you have to set up a network, before you can even think about installing databases?  The Cloud poses new challenges for DBAs: Suddenly, dealing with public and private networks, subnetting, routing and firewalls is becoming part of their daily routines.  This lecture connects general networking concepts with concrete configuration options in the Oracle Cloud.",check,25
